Store_ID,门店名称,品牌,城市,商圈,业态,经度,纬度,是否子店,门店状态,开店日期,门店地址
BJW76,北京新奥购物中心店,Wagas,北京市,朝阳区,Shopping Mall,116.39420199999995,40.00009900000001,否,已开业,2026-04-30,北京市朝阳区湖景东路[9、11]号[2]幢[-01]层-[101]内[B1-95-1]号
SuZW9,苏州狮山龙湖WA,Wagas,苏州市,虎丘区,Shopping Mall,120.555436,31.29365,否,已开业,2025-11-01,江苏省苏州市虎丘区塔园路181号龙湖·苏州狮山天街 SZSSTJ-A-1F-41
SHW145,上海博荟广场WA,Wagas,上海市,黄浦区,Shopping Mall,121.480125,31.196625,否,已开业,2025-11-01,上海市黄浦区中山南一路788号1层L1-6
NJBS5-1,轻遇三明治（南京金陵中环BS）,Baker & Spice,南京市,秦淮区,Shopping Mall,118.78352900000004,32.039585,是,已开业,2025-11-10,南京市王府大街29号、中山南路18号的金陵中环广场西区B1层A-B1-15号
BJW75,北京国瑞城2店,Wagas,北京市,东城区,Shopping Mall,116.420022,39.898247,否,已开业,2025-11-26,北京市东城区崇文门外大街18号1幢地上一层F1-32
SHW143,上海港汇恒隆广场2店,Wagas,上海市,徐汇区,Shopping Mall,121.43711600000006,31.195079000000025,否,已开业,2026-01-30,上海市徐汇区虹桥路1号上海港汇恒隆广场商场 601B/C/D/E 号铺位
SUZBS6-1,轻遇三明治（苏州永旺店）,Baker & Spice,苏州市,吴中区,Shopping Mall,120.75715,31.322931,是,已开业,2026-07-15,苏州市工业园区钟南街238号1F191-1
SUZW7-1,轻遇三明治（苏州星合广场店）,Wagas,苏州市,吴中区,Shopping Mall,120.714139,31.322916,是,已开业,2026-07-15,苏州市工业园区华池街88号晋合广场2幢，105-3/105-5号商铺
SUZW6-1,轻遇三明治（苏州苏悦广场店）,Wagas,苏州市,吴中区,Shopping Mall,120.668963,31.315084,是,已开业,2026-07-15,苏州工业园区苏州大道西119号苏悦商贸广场南区楼商场S1层S1-12单元
SUZW5-1,轻遇三明治（苏州大悦城店）,Wagas,苏州市,相城区,Shopping Mall,120.608114,31.400542,是,已开业,2026-07-15,苏州市相城区元和街道御窑路1999号L1-02号商铺
SUZBS2-1,轻遇三明治（苏州中心2期店）,Baker & Spice,苏州市,吴中区,Shopping Mall,120.679211,31.314704,是,已开业,2026-07-15,苏州市苏州中心广场2幢L1层(C)01-01号
SUZBS3-1,轻遇三明治（苏州仓街店）,Baker & Spice,苏州市,姑苏区,Shopping Mall,120.639517,31.311674,是,已开业,2026-07-15,江苏省苏州市姑苏区仓街1号仓街商业广场项目4号楼第G层161号商铺
HZW19,杭州城西银泰WA,Wagas,杭州市,拱墅区,Shopping Mall,120.10777499999995,30.30004999999999,否,已开业,2025-08-01,杭州拱墅区380号城西银泰城1FL1002室
SHW122-1,轻遇三明治（上海叠纸店）,Wagas,上海市,杨浦区,Office/BusinessPark,121.508604,31.309937,是,已开业,2025-07-28,上海市杨浦区淞沪路635号1F 105、106室
BJBS18-1,轻遇三明治（北京朝阳大悦城BS）,Baker & Spice,北京市,朝阳区,Shopping Mall,116.520197,39.924214,是,已开业,2025-07-28,北京市朝阳区朝阳北路99号楼1层01号G133-135
BJBS10-1,轻遇三明治（北京祥云小镇Shine Hill）,Baker & Spice,北京市,顺义区,Shopping Mall,116.536518,40.088741,是,已开业,2025-07-28,北京市顺义区安泰大街9号院中粮祥云小镇0310-101
BJBS15-1,轻遇三明治（北京赛特奥莱）,Baker & Spice,北京市,朝阳区,Shopping Mall,116.505042,40.034317,是,已开业,2025-07-28,北京市朝阳区香江北路28号一层1-007号
BJBS21-1,轻遇三明治（北京王府中环店1）,Baker & Spice,北京市,东城区,Shopping Mall,116.408436,39.912316,是,已开业,2025-07-28,北京市东城区王府井大街269号院1号楼B1层-132b号商铺
BJW50-1,轻遇三明治（北京丽泽华联）,Wagas,北京市,丰台区,Shopping Mall,116.305282,39.867674,是,已开业,2025-07-28,北京市丰台区丰台北路丽泽天地F1-28号
