门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
SHW145,上海博荟广场WA,上海市,50,67.7,30.0,4.12,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",五里桥,10,10,10,0.49
NJBS5-1,轻遇三明治（南京金陵中环BS）,南京市,50,56.3,31.0,4.21,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",新街口,10,10,10,0.03
BJW75,北京国瑞城2店,北京市,50,45.2,31.0,4.1,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",花市,10,10,10,0.1
SHW143,上海港汇恒隆广场2店,上海市,49,85.4,48.0,4.22,"外国餐厅(10), 快餐厅(10), 休闲餐饮场所(10)",徐家汇,10,10,10,0.03
HZW19,杭州城西银泰WA,杭州市,49,57.8,37.0,4.24,"中餐厅(10), 外国餐厅(10), 咖啡厅(9)",文新,10,10,10,0.47
SHW122-1,轻遇三明治（上海叠纸店）,上海市,50,49.9,29.0,4.08,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",五角场,10,10,10,0.31
BJBS18-1,轻遇三明治（北京朝阳大悦城BS）,北京市,50,66.0,41.0,4.12,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",姚家园,10,10,10,0.15
BJBS10-1,轻遇三明治（北京祥云小镇Shine Hill）,北京市,42,86.7,61.0,4.34,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",后沙峪,10,10,10,1.83
BJBS15-1,轻遇三明治（北京赛特奥莱）,北京市,41,79.5,42.0,4.05,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",马泉营,10,10,10,0.09
BJBS21-1,轻遇三明治（北京王府中环店1）,北京市,50,99.4,54.0,4.23,"外国餐厅(11), 中餐厅(10), 快餐厅(10)",东单,10,10,10,0.31
BJW50-1,轻遇三明治（北京丽泽华联）,北京市,50,58.8,34.0,4.15,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",七里庄,10,10,10,0.07
BJW20-1,轻遇三明治（北京西单君太店）,北京市,48,61.7,48.0,4.26,"外国餐厅(11), 中餐厅(10), 咖啡厅(10)",西单,10,10,10,0.17
BJW51-1,轻遇三明治（北京亦庄华联）,北京市,44,50.6,40.0,4.08,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",亦庄,10,10,10,0.34
BJW55-1,轻遇三明治（北京北苑龙湖店）,北京市,50,54.5,38.0,4.08,"中餐厅(11), 外国餐厅(10), 快餐厅(10)",来广营,10,10,10,0.32
BJW53-1,轻遇三明治（北京回龙观龙街）,北京市,50,40.7,25.0,4.21,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",东小口,10,10,10,0.47
SHW90-1,轻遇三明治（上海中环百联）,上海市,50,49.7,30.0,3.87,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",真光,10,10,10,0.83
